gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5062936467	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249326525	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus tremula		SPECIES	Populus tremula L.	Populus tremula		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.29468	31.753888	327.0						2024-10-27	27	10	2024	3040249	3040249	HUMAN_OBSERVATION	iNaturalist	Observations	249326525		Alexander Baransky	2024-11-13T10:36:15	CC_BY_NC_4_0	volodumur123_	volodumur123_			2025-03-07T15:40:46.117Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062778312	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/220012564	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra		SPECIES	Populus nigra L.	Populus nigra		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.515871	30.254144							2024-06-02T18:15	2	6	2024	3040227	3040227	HUMAN_OBSERVATION	iNaturalist	Observations	220012564		Alexander Baransky	2024-06-02T15:32:40	CC_BY_NC_4_0	Alexander Baransky	Alexander Baransky			2025-03-07T15:15:31.128Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062777916	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229745296	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra		SPECIES	Populus nigra L.	Populus nigra		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.53986	30.22106							2024-07-16T11:34	16	7	2024	3040227	3040227	HUMAN_OBSERVATION	iNaturalist	Observations	229745296		Alexander Baransky	2024-07-16T18:07:32	CC_BY_NC_4_0	Alexander Baransky	Alexander Baransky			2025-03-07T15:24:15.335Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062723384	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/190924726	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra		SPECIES	Populus nigra L.	Populus nigra		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.553155	30.209661							2023-11-12T15:46	12	11	2023	3040227	3040227	HUMAN_OBSERVATION	iNaturalist	Observations	190924726		Alexander Baransky	2023-11-13T18:40:52	CC_BY_NC_4_0	Alexander Baransky	Alexander Baransky			2025-03-07T14:50:47.542Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062675095	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/215587013	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra		SPECIES	Populus nigra L.	Populus nigra		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.566716	30.102049							2024-05-12T11:14	12	5	2024	3040227	3040227	HUMAN_OBSERVATION	iNaturalist	Observations	215587013		Alexander Baransky	2024-05-13T21:50:38	CC_BY_NC_4_0	Alexander Baransky	Alexander Baransky			2025-03-07T15:11:46.553Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062586020	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/132243350	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra		SPECIES	Populus nigra L.	Populus nigra		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.537302	30.241473							2022-08-24T19:43	24	8	2022	3040227	3040227	HUMAN_OBSERVATION	iNaturalist	Observations	132243350		Alexander Baransky	2022-08-25T06:31:12	CC_BY_NC_4_0	Alexander Baransky	Alexander Baransky			2025-03-07T13:55:30.994Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062481008	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/70193444	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus tremula		SPECIES	Populus tremula L.	Populus tremula		UA		Kiev	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.175819	30.101763	2363.0						2021-02-25T13:16:11	25	2	2021	3040249	3040249	HUMAN_OBSERVATION	iNaturalist	Observations	70193444		Liu	2021-02-26T12:02:59	CC_BY_NC_4_0	Liu	Liu			2025-03-07T12:51:34.034Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5006645368	7bf22723-bd31-4e09-accf-514b8adcebc6	Plantsdatabase.Shynder.O.22686	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus canadensis		SPECIES	Populus ×canadensis Moench	Populus ?canadensis Moench		UA		Kyivs'ka Oblast'	PRESENT		ca2fd897-6108-4361-91f8-b39dc8d12d13	50.0037	29.8397	30.0						2020-10-30	30	10	2020	8190077	8190077	HUMAN_OBSERVATION							CC_BY_4_0		O. Shynder			2025-01-31T22:21:43.848Z		
5006645365	7bf22723-bd31-4e09-accf-514b8adcebc6	Plantsdatabase.Shynder.O.22685	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus canadensis		SPECIES	Populus ×canadensis Moench	Populus ?canadensis Moench		UA		Kyivs'ka Oblast'	PRESENT		ca2fd897-6108-4361-91f8-b39dc8d12d13	50.1271	30.7565	30.0						2019-05-26	26	5	2019	8190077	8190077	HUMAN_OBSERVATION							CC_BY_4_0		O. Shynder			2025-01-31T22:21:43.847Z		
5006645364	7bf22723-bd31-4e09-accf-514b8adcebc6	Plantsdatabase.Shynder.O.22684	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus canadensis		SPECIES	Populus ×canadensis Moench	Populus ?canadensis Moench		UA		Kyivs'ka Oblast'	PRESENT		ca2fd897-6108-4361-91f8-b39dc8d12d13	50.115	30.7415	30.0						2019-05-26	26	5	2019	8190077	8190077	HUMAN_OBSERVATION							CC_BY_4_0		O. Shynder			2025-01-31T22:21:43.847Z		
